"id","note_a","note_b","note_c","note_d","note_e","note_num","id_chapter_id","note_a_en","note_b_en","note_c_en","note_d_en","note_e_en","note_num_en"
"11",,,,,,,"04"," For the purposes of heading 04.10, the term “insects” means edible non-living insects, whole or in parts, fresh, chilled, frozen, dried, smoked, salted or in brine, as well as flours and meals of insects, fit for human consumption. However, it does not cover edible non-living insects otherwise prepared or preserved (generally Section IV).",,,,,"Note 6:"
"12","لا يشمل هذا الفصل : # أ- المنتجات الصالحة للأكل (عدا دم الحيوانات السائل أو المجفف والمصارين والمثانات والمعد، كاملة أو قطعاً)؛ # ب- الصلال أو الجلود (بما فيها الجلود بفراء) عـدا المنتجات الداخلة فى البند 05.05 والقصاصات والنفايات المماثلة من الجلود الخام الداخلة في البند 05.11 (الفصل 41 أو الفصل 43)؛ #ج- المواد النسجية من أصل حيوانى، عدا شعر الخيل وفضلاته (القسم الحادى عشر)؛ # د- الحزم والخصل المحضرة لصناعة المكانس والفراجين (البند 96.03). ",,,,,"ملاحظة 1:","05","This Chapter does not cover : # (a)    Edible products (other than guts, bladders and stomachs of animals , whole and pieces thereof, and animal blood, liquid or dried); #  (b)    Hides or skins (including furskins) other than goods of heading 05.05 and parings and similar waste of raw hides or skins of heading 05.11 (Chapter 41 or 43); #  (c)    Animal textile materials, other than horsehair and horsehair waste (Section XI); or #  (d)    Prepared knots or tufts for broom or brush making (heading 96.03).",,,,,"Note 1:"
"13","يعتبر "" خاماً "" بالمعنى المقصود فى البند (05.01)، الشعر المفروز طولياً (بشرط ألا تكون أطرافه الجذرية ورؤوسه مجمعة معاً فى الإتجاه الطبيعى) .",,,,,"ملاحظة 2:","05","For the purposes of heading 05.01, the sorting of hair by length (provided the root ends and tip ends respectively are not arranged together) shall be deemed not to constitute working.",,,,,"Note 2:"
"14","يعتبر "" عاجاً "" فى هذا الجدول، أنياب الفيل، فرس النهر، الفظ، الكركدن البحرى، وأنياب الخنـزير البرى وقرون وحيد القرن وكذلك أسنان جميع الحيوانات",,,,,"ملاحظة 3:","05","Throughout the Nomenclature, elephant, hippopotamus, walrus, narwhal and wild boar tusks, rhinoceros horns and the teeth of all animals are regarded as “ivory”.",,,,,"Note 3:"
"15","يعتبر (شعر خيل) فى هذا الجدول شعر عرف وذيل فصيلتى الخيل والبقر .",,,,,"ملاحظة 4:","05","Throughout the Nomenclature, elephant, hippopotamus, walrus, narwhal and wild boar tusks, rhinoceros horns and the teeth of all animals are regarded as “ivory”.",,,,,"Note 4:"
"16","مع مراعاة أحكام الجزء الثانى من البند 06.01، فإن هذا الفصل يشمل فقط الأشجار الحية والأصناف (بما فيها شتلات الخضر) من الأنواع التى ينتجها عادة بستانيو المشاتل والحدائق وبائعى الأزهار لأغراض الغرس أو الزينة؛ غير أن هذا الفصل لايشمل البطاطا (البطاطس) والبصل والعسقلان والثوم والمنتجات الأخر المذكورة فى الفصل 7 ",,,,,"ملاحظة 1:","06","Subject to the second part of heading 06.01, this Chapter covers only live trees and goods (including seedling vegetables) of a kind commonly supplied by nursery gardeners or florists for planting or for ornamental use; nevertheless it does not include potatoes, onions, shallots, garlic or other products of Chapter 7.",,,,,"Note 1:"
"17","تعامل الباقات والسلال والأكاليل والأصناف المماثلة المحتوية على أى من أصناف البندين 06.03 و06.04 ذات المعاملة لهذه الأصناف ، وبصرف النظر عن اللوازم المضافة إليهم من مواد أخر . # ومع ذلك ، فلا يشمل هذان البندان أصناف فن اللصق (كولاج) ولوحات الزينة المماثلة الداخلة فى البند 97.01.",,,,,"ملاحظة 2:","06","Any reference in heading 0603 or 0604 to goods of any kind shall be construed as including a reference to bouquets, floral baskets, wreaths and similar articles made wholly or partly of goods of that kind, account not being taken of accessories of other materials. However, these headings do not include collages or similar decorative plaques of heading 9701.",,,,,"Note 2:"
"18","لا يشمل هذا الفصل المنتجات العلفية الداخلة فى البند 12.14 .",,,,,"ملاحظة 1:","07","This Chapter does not cover forage products of heading 12.14.",,,,,"Note 1:"
"19","فى البنود 07.09 و 07.10 و 07.11 و07.12، فإن عبارة "" الخضر "" تشمل أيضاً الفطور الصالحة للأكل والكمأه والزيتون والكبر والقرع والكوسة والباذنجان والذرة الحلوة (زيا مايس من نوع سكاراتا)، وأثمار من جنس فليفلة (كابسيكوم) أو من جنس فلفل (بيمنتا)، والشمر والبقدونس والكزبرة والطرخون والرشاد (قرة العين) والمردقـوش الحلو (ماجورانا هورتنسيس أو أوريجانوم ماجورانا) .",,,,,"ملاحظة 2 :","07","In headings 07.09, 07.10, 07.11 and 07.12 the word “vegetables” includes edible mushrooms, truffles, olives, capers, marrows, pumpkins, aubergines, sweet corn (Zea mays var. saccharata), fruits of the genus Capsicum or of the genus Pimenta, fennel, parsley, chervil, tarragon, cress and sweet marjoram (Majorana hortensis orOriganum majorana).",,,,,"Note 2:"
"20","يشمل البند 07.12 جميع الخضر المجففة من الأنواع الداخلة فى البنود من 07.01 الى 07.11 بإسـتثناء : # أ- البقول القرنية اليابسة المقشورة (البند 07.13) ؛ # ب-  الذرة الحلوة بالأشكال المحددة فى البنود من 11.02 الى 11.04 ؛ # ج-  دقيق وسميد ومساحيق ورقائق وحبيبات وكريات البطاطا (البطاطس) المكتلة (البند 11.05) ؛ # د -  دقيق وسميد ومساحيق البقول القرنية اليابسة الداخلة فى البند 07.13 (البند 11.06) ",,,,,"ملاحظة 3:","07","Heading 07.12 covers all dried vegetables of the kinds falling in headings 07.01 to 07.11, other than : # (a)  dried leguminous vegetables, shelled (heading 07.13); # (b)  sweet corn in the forms specified in headings 11.02 to 11.04; # (c)  flour, meal, powder, flakes, granules and pellets of potatoes (heading 11.05); # (d)  flour, meal and powder of the dried leguminous vegetables of heading 07.13 (heading 11.06).",,,,,"Note 3:"
"21","إلا أنه يستثنى من هذا الفصل الأثمار المجففة أو المجروشة أو المسحوقة من جنس (كابسيكوم) أو من جنس (بيمنتا) ( البند 09.04 ) ",,,,,"ملاحظة 4:","07","However, dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta are excluded from this Chapter (heading 09.04).",,,,,"Note 4:"
"22",,,,,,,"07","Heading 07.11 applies to vegetables which have been treated solely to ensure their provisional preservation during transport or storage prior to use (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), provided they remain unsuitable for immediate consumption in that state.",,,,,"Note 5:"
"23","لا يشمل هذا الفصل الفواكه والأثمار القشرية غير الصالحة للأكل",,,,,"ملاحظة 1:","08","This Chapter does not cover inedible nuts or fruits.",,,,,"Note 1:"
"24","تبند الفواكه والأثمار القشرية المبردة فى نفس بنود الفواكه والأثمار القشرية الطازجة المماثلة .",,,,,"ملاحظة 2:","08","Chilled fruits and nuts are to be classified in the same headings as the corresponding fresh fruits and nuts.",,,,,"Note 2:"
"25","إن الفواكـه والأثمـار القشريــة المجففة الداخلة فى هذا الفصل يمكن أن يكون معاداً ترطيبها جزئياً بالماء أو معالجتها للأغراض التالية : # أ -  لزيادة درجة الحفظ أو التثبيت (مثل المعالجة بالحرارة المعتدلة، أو الكبرتة، أو إضافة حمض السوربيك أو سوربات البوتاسيوم)، # ب- لتحسـين المظهر أو المحافظة عليه (مثلاً بإضافة زيوت نباتية أو كميات صغيرة من شراب الجلوكوز)، بشرط أن تبقى محتفظة بصفتها كفواكه أو كأثمار قشرية مجففة .",,,,,"ملاحظة 3:","08","Dried fruit or dried nuts of this Chapter may be partially rehydrated, or treated for the following purposes : #  (a)  For additional preservation or stabilisation (for example, by moderate heat treatment, sulphuring, the addition of sorbic acid or potassium sorbate), # (b)  To improve or maintain their appearance (for example, by the addition of vegetable oil or small quantities of glucose syrup), # provided that they retain the character of dried fruit or dried nuts.",,,,,"Note 3:"
"26",,,,,,,"08","Heading 08.12 applies to fruit and nuts which have been treated solely to ensure their provisional preservation during transport or storage prior to use (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), provided they remain unsuitable for immediate consumption in that state.",,,,,"Note 4:"
"27","تبند مخاليط المنتجات الداخلة فى البنود من 09.04 الى 09.10 كما يلى :# أ- مخاليط المنتجات الخاضعة لبند واحد تبقى داخلة فى هذا البند ؛ # ب- مخاليط المنتجات الخاضعة لبنود مختلفة تدخل فى البند 09.10 . إن إضـافة مـواد أخر الى المنتجات الخاضعة للبنود من 09.04 الى 09.10 (بما فى ذلك المخاليط المشار إليها فى الفقرتين (أ) و (ب) أعلاه)، لاتؤثر فى تبنيد هذه المنتجات مادامت المخاليط الناجمة عنها محتفظة بالصفة الأساسية للمنتجات الخاضعة لهذه البنود. وخلافاً لذلك تسـتبعد هذه المخاليط من هذا الفصل؛ أما إذا كانت تمثل توابل مخلوطة فتدخل فى البند (21.03).",,,,,"ملاحظة 1:","09","Mixtures of the products of headings 09.04 to 09.10 are to be classified as follows : #  (a) Mixtures of two or more of the products of the same heading are to be classified in that heading; #  (b) Mixtures of two or more of the products of different headings are to be classified in heading 09.10. # The addition of other substances to the products of headings 09.04 to 09.10 (or to the mixtures referred to in paragraph (a) or (b) above) shall not affect their classification provided the resulting mixtures retain the essential character of the goods of those headings. Otherwise such mixtures are not classified in this Chapter; those constituting mixed condiments or mixed seasonings are classified in heading 21.03.",,,,,"Note 1:"
"28","لا يشمل هذا الفصل الفلفل المعروف بالكبيبة (بيبركوبيبة) ولا المنتجات الأخر الداخلة فى البند (12.11)",,,,,"ملاحظة 2:","09","This Chapter does not cover Cubeb pepper (Piper cubeba) or other products of heading 12.11",,,,,"Note 2:"
"29","إن المنتجـات المذكورة فى بنود هذا الفصل لاتدخل فيها إلا إذا كانت حبوباً، وإن كانت هذه الحبوب فى سنابل أو على سيقان. ","لايشمل هـذا الفصـل الحبوب المقشورة أو المعالجة بطريقة أخرى، إلا أنه يبقى الأرز المقشور أو المضروب (المبيض) أو الممسوح أو الملمع أو المعالج بالبخار وكذلك كسارته داخلاً فى البند 10.06",,,,"ملاحظة 1:","10","The products specified in the headings of this Chapter are to be classified in those headings only if grains are present, whether or not in the ear or on the stalk.","The Chapter does not cover grains which have been hulled or otherwise worked. However, rice, husked, milled, polished, glazed, parboiled or broken remains classified in heading 10.06. Similarly, quinoa from which the pericarp has been wholly or partly removed in order to separate the saponin, but which has not undergone any other processes, remains classified in heading 10.08",,,,"Note 1:"
"30","لا يشمل البند 10.05 الذرة الحلوة (الفصل 7). ",,,,,"ملاحظة 2:","10","Heading 10.05 does not cover sweet corn (Chapter 7).",,,,,"Note 2:"
"31","لا يشمل هذا الفصل : # أ )   الشعير الناشظ (مالت) المحمص المحضر كبديل للبن (البند 09.01 أو البند 21.01) ؛ # ب)   الدقيق والجريش والسميد والنشاء المحضرة الداخلة فى البند 19.01 ؛ # ج)   رقائق الذرة والمنتجات الأخر الداخلة فى البند 19.04 ؛ #د )   الخضر المحضرة أو المحفوظة الداخلة فى البنود 20.01 أو 20.04 أو 20.05 ؛ # هـ)  محضرات الصيدلة (الفصل 30) ؛ # و)   النشاء الذى له صفة محضرات عطور أو تطرية أو تجميل (الفصل 33)",,,,,"ملاحظة 1:","11","This Chapter does not cover : #  (a)    Roasted malt put up as coffee substitutes (heading 09.01 or 21.01); #(b)    Prepared flours, groats, meals or starches of heading 19.01; #  (c)    Corn flakes or other products of heading 19.04; #   (d)    Vegetables, prepared or preserved, of heading 20.01, 20.04 or 20.05; #  (e)    Pharmaceutical products (Chapter 30); or # (f)    Starches having the character of perfumery, cosmetic or toilet preparations (Chapter 33).",,,,,"Note 1:"
"32","إن منتجات المطاحن من الحبوب المبينة فى الجدول أدناه، تدخل فى هذا الفصل إذا توافرت فيها معاً النسبتان التاليتان محسوبتين وزناً على أساس المادة الجافة : # 1 -  نسبة نشاء تزيـد عما هـو محدد فى العمود (2) من الجدول (محددة بطريقة أيورز الإستقطابية المعدلة)؛ و # 2 - نسبة رماد (بعد إستبعاد أية مواد معدنية مضافه) لاتزيد عن تلك المبينة فى العمود(3). أما المنتجات التى لايتوفر فيها هذان الشرطان، فإنها تدخل فى البند 23.02 . #   ومع ذلك، فإن نبت الحبوب، كاملة أو مفلطحة أو بشكل رقائق أو مطحونة، تتبع دائماً البند 11.04.","إن المنتجـات الداخـلة فى هـذا الفصـل طبقاً للأحكام المذكورة أعلاه تدخل فى البند 11.01 أو البند 11.02 إذا كانت النسبة المئوية التى تمر من خلال منخل من نسيج معدنى (غربال) ذى عيون مطابقة لتلك المبينة فى العمودين (4) أو (5) من الجدول أدناه تبعاً للحال، لاتقل وزناً عن النسبة المبينة إزاء كل نوع من الحبوب المذكورة فى الجدول $$$. # وبخلاف ذلك ، تدخل تلك المنتجات فى البند 11.03 أو البند 11.04 ",,,,"ملاحظة 2:","11","Products from the milling of the cereals listed in the table below fall in this Chapter if they have, by weight on the dry product : #  (a)     a starch content (determined by the modified Ewers polarimetric method) exceeding that indicated in Column (2); and #   (b)     an ash content (after deduction of any added minerals) not  exceeding  that indicated in Column (3). #  Otherwise, they fall in heading 23.02. However, germ of cereals, whole, rolled, flaked or ground is always classified in heading 11.04.","Products falling in this Chapter under the above provisions shall be classified in heading 11.01 or 11.02 if the percentage passing through a woven metal wire cloth sieve with the aperture indicated in Column (4) or (5) is not less, by weight, than that shown against the cereal concerned$$$. #  Otherwise, they fall in heading 11.03 or 11.04.",,,,"Note 2:"
"33","""لتطبيق أحكام البند 11.03، يقصد بعبارة """" جريش """" و """" سميد """" المنتجات المتحصل عليها بتفتيت الحبوب على أن يتوافر فيها أحد الشرطين التاليين : # أ )  إذا كانت مـن منتجـات الذرة ، فإن نسبة 95% على الأقل من وزنها يجب أن تمر من خلال منخل من نسيج معدنى ذى عيون مقاسها 2 مم ؛ # ب) إذا كانت من منتجات الحبوب الأخر ، فإن نسبة 95% على الأقل من وزنها يجب أن تمر من خلال منخل من نسيج معدنى ذى عيون مقاسها 1.25 مم .""",,,,,"ملاحظة 3:","11"," For the purposes of heading 11.03, the terms “groats” and “meal” mean products obtained by the fragmentation of cereal grains, of which : # (a)    in the case of maize (corn) products, at least 95 % by weight passes through a woven metal wire cloth sieve with an aperture of 2 mm; # (b)    in the case of other cereal products, at least 95 % by weight passes through a woven metal wire cloth sieve with an aperture of 1.25 mm.",,,,,"Note 3:"
"34","يشمل البند 12.07 فيما يشمل، ثمار ونوى النخيل وبذور القطن وبذور زيت الخروع وبذور السمسم وبذور الخردل وبذور العصفر (قرطم) وبذور الخشخاش وبذور شيا (كارتيه). غير أن هذا البند لايشمل المنتجات الداخلة في البند 08.01 أو البند 08.02 أو الزيتون (الفصل 7 أو الفصل 20). ",,,,,"ملاحظة 1:","12","Heading 12.07 applies, inter alia, to palm nuts and kernels, cotton seeds, castor oil seeds, sesamum seeds, mustard seeds, safflower seeds, poppy seeds and shea nuts (karite nuts). It does not apply to products of heading 08.01 or 08.02 or to olives (Chapter 7 or Chapter 20).",,,,,"Note 1:"
"35","يشمل البند 12.08 الدقيق والسميد غير المنـزوع زيتهما كما يشمل أيضا الدقيق والسميد المنـزوع زيتهما جزئياً أو اللذين نزع الزيت منهما ومن ثم أعيد تدسيمهما كلياً أو جزئياً بزيوتهما الأصلية. غير أنه لايشمل البقايا الداخلة في البنود من 23.04 الى 23.06. ",,,,,"ملاحظة 2:","12","Heading 12.08 applies not only to non‑defatted flours and meals but also to flours and meals which have been partially defatted or defatted and wholly or partially refatted with their original oils. It does not, however, apply to residues of headings 23.04 to 23.06.",,,,,"Note 2:"
"36","من أجل تطبيق البند 12.09، تعتبر (بذوراً معدة للبذار)، بذور الشوندر (بنجر) وبذور أعشاب وحشائش الحقول والمراعى وبذور أزهار الزينة وبذور الخضر وبذور الأشجار الحرجية وبذور أشجار الفاكهة وبذور البيقة أوالكرسنة (غير أنواع فيشيافابا) والترمس. غير أن البند 12.09 لاينطبق على البذور التالية، وإن كانت معدة للبذار : #أ)  البقول القرنية أو الذرة الحلوة (الفصل 7)؛ # ب)  البهارات والتوابل والأصناف الأخر الداخلة في الفصل 9؛  #ج )  الحبوب (الفصل 10)؛ . # د )  المنتجات الداخلة في البنود من 12.01 الى 12.07 أو في البند 12.11. ",,,,,"ملاحظة 3:","12"," For the purposes of heading 12.09, beet seeds, grass and other herbage seeds, seeds of ornamental flowers, vegetable seeds, seeds of forest trees, seeds of fruit trees, seeds of vetches (other than those of the species Vicia faba) or of lupines are to be regarded as “seeds of a kind used for sowing”. #  Heading 12.09 does not, however, apply to the following even if for sowing : #   (a) Leguminous vegetables or sweet corn (Chapter 7); #(b) Spices or other products of Chapter 9; #(c)  Cereals (Chapter 10); or #   (d) Products of headings 12.01 to 12.07 or 12.11.",,,,,"Note 3:"
"37","يشمل البند 12.11 فيما يشمل، النباتات وأجزاء النباتات من الأنواع التالية : الحبق (ريحان) ولسان الثور (أبو الرشح) والجنسنج والزوفاء وعرق السوس ومختلف أنواع النعناع وأكليل الجبل (حصى البان)، والشذاب، والمريميه والشيح (الأفسنتين). # ولايشمل البند 12.11 مايلى :  # أ )  الأدوية الداخلة في الفصل 30؛ # ب)  مستحضرات العطور أو التجميل (تواليت) أو التطرية (كوزماتيك) الداخلة في الفصل 33؛ # ج)  مبيدات الحشـرات والفطريات ومبيدات الأعشاب الضارة والمطهرات أو المنتجات المماثلة الداخلة في البند 38.08",,,,,"ملاحظة 4:","12","Heading 12.11 applies, inter alia, to the following plants or parts thereof : basil, borage, ginseng, hyssop, liquorice, all species of mint, rosemary, rue, sage and wormwood. # Heading 12.11 does not, however, apply to : #(a) Medicaments of Chapter 30;  #(b) Perfumery, cosmetic or toilet preparations of Chapter 33; or #(c)  Insecticides, fungicides, herbicides, disinfectants or similar products of heading 38.08.",,,,,"Note 4:"
"38","""من أجل تطبيق البند 12.12، فإن عبارة """" أعشاب بحرية وطحالب مائية """" لاتشمل مايلى : # أ )  الكائنات المجهرية الميتة وحيدة الخلية الداخلة في البند 21.02؛ # ب)  الكائنات المجهرية المزروعة الداخلة في البند 30.02؛ # ج)  الأسمدة الداخلة في البند 31.01 أو البند 31.05. """,,,,,"ملاحظة 5:","12","For the purposes of heading 12.12, the term “seaweeds and other algae” does not include : # (a) Dead single‑cell micro‑organisms of heading 21.02; #  (b) Cultures of micro‑organisms of heading 30.02; or #   (c)  Fertilisers of heading 31.01 or 31.05.",,,,,"Note 5:"
