id,material,name ,band ,clearanceFeeExport,priceImport,clearanceFee,priceFull,type,priceExport,note
92042,[01051400] ≈ж“ »ж“д б«н“нѕ Џд 185 џ.,≈ж“ »ж“д б«н“нѕ Џд 185 џ.,1051400,2,0.07,0.02,0.1,Џѕѕ,0,
92043,[01051500] ѕћ«ћ џндн« (џ—џ—) »ж“д б«н“нѕ Џд 185 џ.,ѕћ«ћ џндн« (џ—џ—) »ж“д б«н“нѕ Џд 185 џ.,1051500,2,0.07,0.02,0.1,Џѕѕ,0,
92044,"[01059400] ѕж«ћд, гд Ё’нб… џ«бж” ѕжг” ня«”""Gallus Domesticus"" »ж“д б« н“нѕ Џд 185 џ.","ѕж«ћд, гд Ё’нб… џ«бж” ѕжг” ня«”""Gallus Domesticus"" »ж“д б« н“нѕ Џд 185 џ.",1059400,2,0.07,0.02,0.1,Џѕѕ,0,
92045,[01061100] «б—∆н”«  («бЌнж«д«  «бЏбн«):,«б—∆н”«  («бЌнж«д«  «бЏбн«):,1061100,2,20,7,27,Џѕѕ,0,
92046,"[01061200] Ќн «д жѕб«Ёнд  жѕб«Ёнд ’џн—… ""ќд«“н— «б»Ќ—"" (Ћѕннш«  гд Ё’нб… «бЌн «д)Їќ—Ё«д «б»Ќ— ж«б√Ўг (Ћѕннш«  гд Ё’нб… «бќнб«дн«  √ж √»ё«— «б»Ќ— ""Sirenia"")° Ёёг« ° √”жѕ «б»Ќ— жЁў (гж—”)(Ћѕнн«  гд «бЁ’нб… «бЁ—Џн… б“ЏдЁн«  «б√ёѕ«г):","Ќн «д жѕб«Ёнд  жѕб«Ёнд ’џн—… ""ќд«“н— «б»Ќ—"" (Ћѕннш«  гд Ё’нб… «бЌн «д)Їќ—Ё«д «б»Ќ— ж«б√Ўг (Ћѕннш«  гд Ё’нб… «бќнб«дн«  √ж √»ё«— «б»Ќ— ""Sirenia"")° Ёёг« ° √”жѕ «б»Ќ— жЁў (гж—”)(Ћѕнн«  гд «бЁ’нб… «бЁ—Џн… б“ЏдЁн«  «б√ёѕ«г):",1061200,2,20,7,27,Џѕѕ,0,
92047,[01061300] ћг«б жџн—е« гд Ё’нб… «б≈»б (CAMELIDAE),ћг«б жџн—е« гд Ё’нб… «б≈»б (CAMELIDAE),1061300,2,20,7,27,Џѕѕ,0,
92048,[01061400] «—«д» √бнЁ… ж «—«д» »—н…,«—«д» √бнЁ… ж «—«д» »—н…,1061400,2,5,2,7,Џѕѕ,0,
92049,[01061900] џн—е«,џн—е« ( гд «бЎнж— (Џ’«Ён— г джЏ…)),1061900,2,3.75,1.25,5,Џѕѕ,0,
92050,[01062000] “ж«ЌЁ (»г« Ён –бя  «б√Ё«Џн ж«б”б«ЌЁ):,“ж«ЌЁ (»г« Ён –бя  «б√Ё«Џн ж«б”б«ЌЁ):,1062000,2,5,2,7,Џѕѕ,0,
92051,[01063110] ћж«—Ќ (Ўнж— гЁ —”…):,ћж«—Ќ (Ўнж— гЁ —”…):(«б»жг жџн—е«),1063110,2,37.5,12.5,50,Џѕѕ,0,
92052,[01063190] ћж«—Ќ (Ўнж— гЁ —”…):,ћж«—Ќ (Ўнж— гЁ —”…):(Ўнж— Ќ—…),1063190,2,375,125,500,Џѕѕ,0,
92053,[01063200] Ё’нб… «б»»ш«џ«ж«  Ќн… (–«  «бЌћг «бЏ«ѕн √ж«б’џн— √ж «б÷ќг √ж «б«” —«бн…).,Ё’нб… «б»»ш«џ«ж«  Ќн… (–«  «бЌћг «бЏ«ѕн √ж«б’џн— √ж «б÷ќг √ж «б«” —«бн…).,1063200,2,75,25,100,Џѕѕ,0,
92054,"[01063300] Ўнж— «бдЏ«г ° дЏ«г «” —«бн(dromaius novaehllandiae emus)","Ўнж— «бдЏ«г ° дЏ«г «” —«бн(dromaius novaehllandiae emus)",1063300,2,40,13,53,Џѕѕ,0,
92055,[01063900] џн—е«:(«б»жг),џн—е«:,1063900,2,40,13,53,Џѕѕ,0,
92056,[01064100] Ќ‘—«  дЌб,Ќ‘—«  дЌб (ж«д я«д  »‘яб ’д«ѕнё),1064100,2,3.75,1.25,5,Џѕѕ,0,
92057,[01064900] џн—е« ( гд «бЌ‘—« ),џн—е« ( гд «бЌ‘—« ),1064900,2,3.75,1.25,5,Џѕѕ,0,
92058,[01069000] џн—е« гд «бЌнж«д«  «бЌн…,џн—е« гд «бЌнж«д«  «бЌн… (÷Ё«ѕЏ жџн—е«),1069000,2,3.75,1.25,5,Џѕѕ,0,
92059,"[02011000] –»«∆Ќ «б√»ё«— я«гб… ж√д’«Ё –»«∆Ќ° Ў«“ћ… √ж г»—ѕ….","–»«∆Ќ «б√»ё«— я«гб… ж√д’«Ё –»«∆Ќ° Ў«“ћ… √ж г»—ѕ….",2011000,2,375,125,500,ж“д,0,
92060,"[02012000] ёЎЏ √ќ—м гд бЌжг «б√»ё«— »Џў«ге«° Ў«“ћ… √ж г»—ѕ….","ёЎЏ √ќ—м гд бЌжг «б√»ё«— »Џў«ге«° Ў«“ћ… √ж г»—ѕ….",2012000,2,375,125,500,ж“д,0,
92061,"[02013000] ёЎЏ √ќ—м гд бЌжг «б√»ё«— »ѕжд Џў«г° Ў«“ћ… √ж г»—ѕ….","ёЎЏ √ќ—м гд бЌжг «б√»ё«— »ѕжд Џў«г° Ў«“ћ… √ж г»—ѕ….",2013000,2,375,125,500,ж“д,0,
92517,[08039000] џн—е« (гд «бгж“),џн—е« (гд «бгж“),8039000,2,40,13,53,ж“д,0,
92062,"[02021000] –»«∆Ќ «б√»ё«— я«гб… ж√д’«Ё –»«∆Ќ° гћгѕ….","–»«∆Ќ «б√»ё«— я«гб… ж√д’«Ё –»«∆Ќ° гћгѕ….",2021000,2,375,125,500,ж“д,0,
92063,"[02022000] ёЎЏ √ќ—м гд бЌжг «б√»ё«— »Џў«ге«° гћгѕ….","ёЎЏ √ќ—м гд бЌжг «б√»ё«— »Џў«ге«° гћгѕ….",2022000,2,375,125,500,ж“д,0,
92064,"[02023000] ёЎЏ √ќ—м гд бЌжг «б√»ё«— »ѕжд Џў«г° гћгѕ….","ёЎЏ √ќ—м гд бЌжг «б√»ё«— »ѕжд Џў«г° гћгѕ….",2023000,2,375,125,500,ж“д,0,
92065,"[02041000] –»«∆Ќ я«гб… ж√д’«Ё –»«∆Ќ,гд Ќгб«д, Ў«“ћ… √ж г»—ѕ…","–»«∆Ќ я«гб… ж√д’«Ё –»«∆Ќ,гд Ќгб«д, Ў«“ћ… √ж г»—ѕ…",2041000,2,375,125,500,ж“д,0,
92066,"[02042100] –»«∆Ќ я«гб… ж√д’«Ё –»«∆Ќ, гд бЌжг Ё’нб… ÷√д √ќ— (Џѕ« «бЌгб«д),Ў«“ћ… √ж г»—ѕ…","–»«∆Ќ я«гб… ж√д’«Ё –»«∆Ќ, гд бЌжг Ё’нб… ÷√д √ќ— (Џѕ« «бЌгб«д),Ў«“ћ… √ж г»—ѕ…",2042100,2,375,125,500,ж“д,0,
92067,"[02042200] ёЎЏ √ќ— »Џўге«,гд бЌжг Ё’нб… «б÷√д,Ў«“ћ… √ж г»—ѕ…","ёЎЏ √ќ— »Џўге«,гд бЌжг Ё’нб… «б÷√д,Ў«“ћ… √ж г»—ѕ…",2042200,2,375,125,500,ж“д,0,
92068,"[02042300] ёЎЏ √ќ— »ѕжд Џў«г° гд бЌжг Ё’нб… «б÷√д,Ў«“ћ… √ж г»—ѕ…","ёЎЏ √ќ— »ѕжд Џў«г° гд бЌжг Ё’нб… «б÷√д,Ў«“ћ… √ж г»—ѕ…",2042300,2,375,125,500,ж“д,0,
92069,[02043000] –»«∆Ќ я«гб… ж√д’«Ё –»«∆Ќ Ќгб«д? гћгѕ…,–»«∆Ќ я«гб… ж√д’«Ё –»«∆Ќ Ќгб«д? гћгѕ…,2043000,2,375,125,500,ж“д,0,
92070,"[02044100] –»«∆Ќ я«гб… ж√д’«Ё –»«∆Ќ ,гд бЌжг Ё’нб… ÷√д √ќ— (Џѕ« «бЌгб«д),гћгѕ…","–»«∆Ќ я«гб… ж√д’«Ё –»«∆Ќ ,гд бЌжг Ё’нб… ÷√д √ќ— (Џѕ« «бЌгб«д),гћгѕ…",2044100,2,375,125,500,ж“д,0,
92071,"[02044200] ёЎЏ √ќ— »Џўге«,гд бЌжг Ё’нб… ÷√д° гћгѕ…","ёЎЏ √ќ— »Џўге«,гд бЌжг Ё’нб… ÷√д° гћгѕ…",2044200,2,375,125,500,ж“д,0,
92072,"[02044300] ёЎЏ √ќ— »ѕжд Џў«г,гд бЌжг Ё’нб… ÷√д° гћгѕ…","ёЎЏ √ќ— »ѕжд Џў«г,гд бЌжг Ё’нб… ÷√д° гћгѕ…",2044300,2,375,125,500,ж“д,0,
92073,"[02045000] бЌжг,гд Ё’нб… «бг«Џ“,Ў«“ћ… √ж г»—ѕ… √ж гћгѕ…","бЌжг,гд Ё’нб… «бг«Џ“,Ў«“ћ… √ж г»—ѕ… √ж гћгѕ…",2045000,2,375,125,500,ж“д,0,
92074,"[02061000] √Ќ‘«Ѕ ж√Ў—«Ё ’«бЌ… бб√яб ,гд  Ё’нб… «б√»ё«—, Ў«“ћ… √ж г»—ѕ…","√Ќ‘«Ѕ ж√Ў—«Ё ’«бЌ… бб√яб ,гд  Ё’нб… «б√»ё«—, Ў«“ћ… √ж г»—ѕ…",2061000,2,75,25,100,ж“д,0,
92075,"[02062100] √б”д… ’«бЌ… бб√яб,гд Ё’нб… «б√»ё«—,гћгѕ…","√б”д… ’«бЌ… бб√яб,гд Ё’нб… «б√»ё«—,гћгѕ…",2062100,2,75,25,100,ж“д,0,
92076,"[02062200] √я»«ѕ ’«бЌ… бб√яб,гд Ё’нб… «б√»ё«—,гћгѕ…","√я»«ѕ ’«бЌ… бб√яб,гд Ё’нб… «б√»ё«—,гћгѕ…",2062200,2,75,25,100,ж“д,0,
92077,"[02062900] √Ќ‘«Ѕ ж√Ў—«Ё ’«бЌ…бб√яб(Џѕ««б√б”д…ж«б√я»«ѕ), гд Ё’нб… «б√»ё«—,гћгѕ…","√Ќ‘«Ѕ ж√Ў—«Ё ’«бЌ…бб√яб(Џѕ««б√б”д…ж«б√я»«ѕ), гд Ё’нб… «б√»ё«—,гћгѕ…",2062900,2,75,25,100,ж“д,0,
92078,[02068000] џн—е« Ў«“ћ… √ж г»—ѕ…:,џн—е« Ў«“ћ… √ж г»—ѕ…:,2068000,2,75,25,100,ж“д,0,
92079,"[02069000] џн—е«° гћгѕ…:","џн—е«° гћгѕ…:",2069000,2,75,25,100,ж“д,0,
92080,"[02071100] бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё,џн— гёЎЏ…,’«бЌ… бб√яб,гд ѕж«ћд Ў«“ћ… √ж г»—ѕ…","бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё,џн— гёЎЏ…,’«бЌ… бб√яб,гд ѕж«ћд Ў«“ћ… √ж г»—ѕ…",2071100,2,0,0,0,ж“д,0,
92081,"[02071200] бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё,џн— гёЎЏ…,’«бЌ… бб√яб,гд ѕж«ћд гћгѕ…","бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё,џн— гёЎЏ…,’«бЌ… бб√яб,гд ѕж«ћд гћгѕ…",2071200,2,75,25,100,ж“д,0,
92082,"[02071300] ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё,’«бЌ… бб√яб,гд ѕж«ћд Ў«“ћ… √ж г»—ѕ…","ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё,’«бЌ… бб√яб,гд ѕж«ћд Ў«“ћ… √ж г»—ѕ…",2071300,2,0,0,0,ж“д,0,
92083,"[02071410] ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё,’«бЌ… бб√яб,гд ѕж«ћд ,гћгѕ….","ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё,’«бЌ… бб√яб,гд ѕж«ћд ,гћгѕ….(гд“жЏ… гня«днян«р MDM)",2071410,2,24.75,8.25,33,ж“д,0,
92084,"[02071490] ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё,’«бЌ… бб√яб,гд ѕж«ћд ,гћгѕ….","ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё,’«бЌ… бб√яб,гд ѕж«ћд ,гћгѕ….",2071490,2,75,25,100,ж“д,0,
92085,"[02072400] бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё,џн— гёЎЏ…,’«бЌ… бб√яб,гд ѕнжя Ќ»‘,Ў«“ћ… √ж г»—ѕ…","бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё,џн— гёЎЏ…,’«бЌ… бб√яб,гд ѕнжя Ќ»‘,Ў«“ћ… √ж г»—ѕ…",2072400,2,0,0,0,ж“д,0,
92086,"[02072500] бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё,џн— гёЎЏ…,’«бЌ… бб√яб,гд ѕнжя Ќ»‘,гћгѕ…","бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё,џн— гёЎЏ…,’«бЌ… бб√яб,гд ѕнжя Ќ»‘,гћгѕ…",2072500,2,75,25,100,ж“д,0,
92087,"[02072600] ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё ’«бЌ… бб√яб,гд ѕнжя Ќ»‘, Ў«“ћ… √жг»—ѕ…","ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё ’«бЌ… бб√яб,гд ѕнжя Ќ»‘, Ў«“ћ… √жг»—ѕ…",2072600,2,0,0,0,ж“д,0,
92088,"[02072700] ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё ’«бЌ… бб√яб,гд ѕнжя Ќ»‘,гћгѕ….","ёЎЏ ж√Ќ‘«Ѕ ж√Ў—«Ё ’«бЌ… бб√яб,гд ѕнжя Ќ»‘,гћгѕ….",2072700,2,75,25,100,ж“д,0,
92089,[02074100] гд »Ў џн— гёЎЏ… б«ћ“«Ѕ Ў«“ћ… «ж г»—ѕ…,гд »Ў џн— гёЎЏ… б«ћ“«Ѕ Ў«“ћ… «ж г»—ѕ…,2074100,2,75,25,100,ж“д,0,
92090,"[02074200] гд »Ў џн— гёЎЏ… б«ћ“«Ѕ ,гћгѕ…","гд »Ў џн— гёЎЏ… б«ћ“«Ѕ ,гћгѕ…",2074200,2,75,25,100,ж“д,0,
97353,[87169000] √ћ“«Ѕ,√ћ“«Ѕ,87169000,2,225,75,300,ж“д,0,
92091,"[02074300] гд »Ў √я»«ѕ ѕ”г… , Ў«“ћ… «ж г»—ѕ…","гд »Ў √я»«ѕ ѕ”г… , Ў«“ћ… «ж г»—ѕ…",2074300,2,75,25,100,ж“д,0,
92092,"[02074400] гд »Ў , џн—е« Ў«“ћ… √ж г»—ѕ…","гд »Ў , џн—е« Ў«“ћ… √ж г»—ѕ…",2074400,2,75,25,100,ж“д,0,
92093,[02074500] џн—е« гћгѕ…,џн—е« гћгѕ…,2074500,2,75,25,100,ж“д,0,
92094,"[02075100] џн— гёЎЏ… б«ћ“«Ѕ , Ў«“ћ… «ж г»—ѕ…","џн— гёЎЏ… б«ћ“«Ѕ , Ў«“ћ… «ж г»—ѕ…",2075100,2,75,25,100,ж“д,0,
92095,"[02075200] џн— гёЎЏ… б«ћ“«Ѕ , гћгѕ…","џн— гёЎЏ… б«ћ“«Ѕ , гћгѕ…",2075200,2,75,25,100,ж“д,0,
92096,[02075300] гд «я»«ѕ ѕ”г… Ў«“ћ… «ж г»—ѕ…,гд «я»«ѕ ѕ”г… Ў«“ћ… «ж г»—ѕ…,2075300,2,75,25,100,ж“д,0,
92097,[02075400] џн—е« .Ў«“ћ… «ж г»—ѕ…,џн—е« .Ў«“ћ… «ж г»—ѕ…,2075400,2,75,25,100,ж“д,0,
92098,"[02075500] џн—е« , гћгѕ…","џн—е« , гћгѕ…",2075500,2,75,25,100,ж“д,0,
92099,[02076000] гд ѕћ«ћ џндн« (џ—џ—):,гд ѕћ«ћ џндн« (џ—џ—):,2076000,2,75,25,100,ж“д,0,
92100,"[02081000] бЌжг ж√Ќ‘«Ѕж√Ў—«Ё,’«бЌ…бб√яб,гд √—«д» √бнЁ… √ж »—н…,Ў«“ћ… √ж г»—ѕ… √ж гћгѕ…","бЌжг ж√Ќ‘«Ѕж√Ў—«Ё,’«бЌ…бб√яб,гд √—«д» √бнЁ… √ж »—н…,Ў«“ћ… √ж г»—ѕ… √ж гћгѕ…",2081000,2,75,25,100,ж“д,0,
92101,[02083000] бЌжг ж«Ќ‘«Ѕ ж«Ў—«Ё «ќ— ’«бЌ… бб«яб Ў«“ћ… «ж  г»—ѕ… «ж гћгѕ…гд Ќнж«д«  —∆н”…,бЌжг ж«Ќ‘«Ѕ ж«Ў—«Ё «ќ— ’«бЌ… бб«яб Ў«“ћ… «ж  г»—ѕ… «ж гћгѕ…гд Ќнж«д«  —∆н”…,2083000,2,75,25,100,ж“д,0,
92102,"[02084000] гд Ќн «д жѕб«Ёнд жѕб«Ёнд ’џн—… (ќд«“н— «б»Ќ—) (Ћѕннш«  гд Ё’нб… «бЌн «д)?ќ—Ё«д «б»Ќ— ж«б¬Ўг(Ћѕн«  гд Ё’нб… «бќнб«дн«  √ж ¬»ё«— «б»Ќ—""Sirenia"") ° Ёёг«  ж√”жѕ «б»Ќ— жЁў(гж—”)(Ћѕн«  гд «бЁ’нб… «бЁ—Џн… б)","гд Ќн «д жѕб«Ёнд жѕб«Ёнд ’џн—… (ќд«“н— «б»Ќ—) (Ћѕннш«  гд Ё’нб… «бЌн «д)?ќ—Ё«д «б»Ќ— ж«б¬Ўг(Ћѕн«  гд Ё’нб… «бќнб«дн«  √ж ¬»ё«— «б»Ќ—""Sirenia"") ° Ёёг«  ж√”жѕ «б»Ќ— жЁў(гж—”)(Ћѕн«  гд «бЁ’нб… «бЁ—Џн… б)",2084000,2,75,25,100,ж“д,0,
92103,[02085000] бЌжг ж«Ќ‘«Ѕ ж«Ў—«Ё «ќ— ’«бЌ… бб«яб Ў«“ћ… «ж  г»—ѕ… «ж гћгѕ…гд “ж«ЌЁ,бЌжг ж«Ќ‘«Ѕ ж«Ў—«Ё «ќ— ’«бЌ… бб«яб Ў«“ћ… «ж  г»—ѕ… «ж гћгѕ…гд “ж«ЌЁ,2085000,2,75,25,100,ж“д,0,
92104,[02086000] гд ћг«б жџн—е« гд Ё’нб… «б≈»б (camelidae),гд ћг«б жџн—е« гд Ё’нб… «б≈»б (camelidae),2086000,2,75,25,100,ж“д,0,
92105,[02089000] бЌжг ж«Ќ‘«Ѕ ж«Ў—«Ё «ќ— ’«бЌ… бб«яб Ў«“ћ… «ж  г»—ѕ… «ж гћгѕ… (џ г ”),бЌжг ж«Ќ‘«Ѕ ж«Ў—«Ё «ќ— ’«бЌ… бб«яб Ў«“ћ… «ж  г»—ѕ… «ж гћгѕ… (џ г ”),2089000,2,75,25,100,ж“д,0,
92106,[02099000] ѕед Ўнж— ѕж«ћд џн— г” ќб’ »«б«–«»… «ж »Ў—ё «б«” ќб«’ «б«ќ— Ў«“ћ« г»—ѕ« гћгѕ« ггбЌ«,ѕед Ўнж— ѕж«ћд џн— г” ќб’ »«б«–«»… «ж »Ў—ё «б«” ќб«’ «б«ќ— Ў«“ћ« г»—ѕ« гћгѕ« ггбЌ«,2099000,2,75,25,100,ж“д,0,
92107,[02102000] бЌжг Ё’нб… «б√»ё«— ггбЌ… √ж Ён г«Ѕ ггбЌ? гћЁЁ… √ж гѕќд… ’«бЌ… бб√яб (џ г ”).,бЌжг Ё’нб… «б√»ё«— ггбЌ… √ж Ён г«Ѕ ггбЌ? гћЁЁ… √ж гѕќд… ’«бЌ… бб√яб (џ г ”).,2102000,2,375,125,500,ж“д,0,
92108,[02109100] бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё? ггбЌ… гћЁЁ…? √ж гѕќд…? ѕёнё жг”«Ќнё?  ’«бЌ… бб√яб гд «б—∆н”« ,бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё? ггбЌ… гћЁЁ…? √ж гѕќд…? ѕёнё жг”«Ќнё?  ’«бЌ… бб√яб гд «б—∆н”« ,2109100,2,375,125,500,ж“д,0,
92109,"[02109200] гд Ќн «д жѕб«Ёнд жѕб«Ёнд ’џн—… (ќд«“н— «б»Ќ—) (Ћѕннш«  гд Ё’нб… «бЌн «д)?ќ—Ё«д «б»Ќ— ж«б√ўг (Ћѕн«  гд Ё’нб… «бќнб«дн«  √ж √»ё«— «б»Ќ—""Sirenia"") ° Ёёг«  ° √”жѕ «б»Ќ— жЁў(гж—”)(Ћѕнн«  гд «бЁ’нб… «бЁ—Џн)","гд Ќн «д жѕб«Ёнд жѕб«Ёнд ’џн—… (ќд«“н— «б»Ќ—) (Ћѕннш«  гд Ё’нб… «бЌн «д)?ќ—Ё«д «б»Ќ— ж«б√ўг (Ћѕн«  гд Ё’нб… «бќнб«дн«  √ж √»ё«— «б»Ќ—""Sirenia"") ° Ёёг«  ° √”жѕ «б»Ќ— жЁў(гж—”)(Ћѕнн«  гд «бЁ’нб… «бЁ—Џн)",2109200,2,375,125,500,ж“д,0,
92110,[02109300] бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё? ггбЌ… гћЁЁ…? √ж гѕќд…? ѕёнё жг”«Ќнё?  ’«бЌ… бб√яб гд «б“ж«ЌЁ,бЌжг ж√Ќ‘«Ѕ ж√Ў—«Ё? ггбЌ… гћЁЁ…? √ж гѕќд…? ѕёнё жг”«Ќнё?  ’«бЌ… бб√яб гд «б“ж«ЌЁ,2109300,2,375,125,500,ж“д,0,
92111,[02109900] џн—е«:,џн—е«:,2109900,2,375,125,500,ж“д,0,
92112,[03011100] Ён гн«е Џ–»…:,Ён гн«е Џ–»…:,3011100,2,150,50,200,ж“д,0,
92113,[03011900] џн—е«:,џн—е«:,3011900,2,150,50,200,ж“д,0,
92114,"[03019100] ”гя «б —жн  (Salmo trutta ,Oncorhynchus mykiss , Oncorhynchus clarki ,Oncorhynchus aguabonita, Oncorhynchus gilae , Oncorhynchus apache , Oncorhynchus  chrysogaster).","”гя «б —жн  (Salmo trutta ,Oncorhynchus mykiss , Oncorhynchus clarki ,Oncorhynchus aguabonita, Oncorhynchus gilae , Oncorhynchus apache , Oncorhynchus  chrysogaster).",3019100,2,150,50,200,ж“д,0,
92115,[03019200] .(Anguilla spp.) ”гя «б√дёб?”,.(Anguilla spp.) ”гя «б√дёб?”,3019200,2,150,50,200,ж“д,0,
92116,"[03019300] ”гя «б‘»жЎ(Cyprinus spp ,Carassius spp , Hypophthalmichthys spp , Ctenopharyngodon idellus ,Mylopharyngodon piceus, Cirrhinus spp ,Osteochilus hasselti , Labeo spp ,Catla catla , Megalobrama spp , Leptobarbus hoeveni)
","”гя «б‘»жЎ(Cyprinus spp ,Carassius spp , Hypophthalmichthys spp , Ctenopharyngodon idellus ,Mylopharyngodon piceus, Cirrhinus spp ,Osteochilus hasselti , Labeo spp ,Catla catla , Megalobrama spp , Leptobarbus hoeveni)
",3019300,2,150,50,200,ж“д,0,
92117,"[03019400] ”гя «б жд…  «б«ЎбдЎн ж«бе«ѕн  –«  «б“ЏдЁ… «б“—ё«Ѕ "" Bluefin ""( ""Thunnus, Thynnus, Thunnus orintalis"" )","”гя «б жд…  «б«ЎбдЎн ж«бе«ѕн  –«  «б“ЏдЁ… «б“—ё«Ѕ "" Bluefin ""( ""Thunnus, Thynnus, Thunnus orintalis"" )",3019400,2,150,50,200,ж“д,0,
92118,"[03019500] ”гя  жд… «бћдж» –«  «б“ЏдЁ… «б“—ё«Ѕ (""Thunnus maccoyii"").","”гя  жд… «бћдж» –«  «б“ЏдЁ… «б“—ё«Ѕ (""Thunnus maccoyii"").",3019500,2,150,50,200,ж“д,0,
92119,"[03019900] √”г«я Ќн… ,Џѕ« √”г«я ( «б“нд… , «б —жн , «б√дёбн”  ж«б‘»жЎ ж«б жд…)","√”г«я Ќн… ,Џѕ« √”г«я ( «б“нд… , «б —жн , «б√дёбн”  ж«б‘»жЎ ж«б жд…)",3019900,2,150,50,200,ж“д,0,
92120,"[03021100] ”гя «б —жн  (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache, Oncorhynchus chrysogaster)","”гя «б —жн  (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache, Oncorhynchus chrysogaster)",3021100,2,150,50,200,ж“д,0,
92121,"[03021300] ”бгжд «бгЌнЎ «бе«ѕн(Oncorhynchus nerka ,Oncorhynchus gorbucsha ,Oncorhynchus keta ,Oncorhynchus tschawytsha,Oncorhynchus kisutch ,Oncorhynchus masou  , Oncorhynchus Rhodurus)","”бгжд «бгЌнЎ «бе«ѕн(Oncorhynchus nerka ,Oncorhynchus gorbucsha ,Oncorhynchus keta ,Oncorhynchus tschawytsha,Oncorhynchus kisutch ,Oncorhynchus masou  , Oncorhynchus Rhodurus)",3021300,2,150,50,200,ж“д,0,
