"id","note_a","note_b","note_c","note_num","id_section_id","note_a_en","note_b_en","note_c_en","note_num_en"
"19","تعتبر من الأقمشة المنسوجة الداخلة في الفصول من 50 إلى 55، الأقمشة المؤلفة من خيوط نسجية متوازية على شكل طبقات موضوعة فوق بعضها البعض بإتجاهات تشكل زوايا حادة أو قائمة. وهذه الطبقات مضمومة إلى بعضها عند نقاط تقاطع الخيوط بلاصق أو برابط حرارى. ",,,"ملاحظة 9:","11","The woven fabrics of Chapters 50 to 55 include fabrics consisting of layers of parallel textile yarns superimposed on each other at acute or right angles. These layers are bonded at the intersections of the yarns by an adhesive or by thermal bonding.",,,"Note 9:"
"2","ما لم ينص على خلاف ذلك، فإن أية إشارة في جدول التعريفة إلى المنتجات ""المجففة"" تشمل أيضاً المنتجات التي نـزع ماؤها، أو بخرت أو جففت بالتجميد",,,"ملاحظة 2:","1","Except where the context otherwise requires, throughout the Nomenclature any reference to “dried” products also covers products which have been dehydrated, evaporated or freeze‑dried. ",,,"Note 2:"
"20","تعتبر من الأقمشة المنسوجة الداخلة في الفصول من 50 إلى 55، الأقمشة المؤلفة من خيوط نسجية متوازية على شكل طبقات موضوعة فوق بعضها البعض بإتجاهات تشكل زوايا حادة أو قائمة. وهذه الطبقات مضمومة إلى بعضها عند نقاط تقاطع الخيوط بلاصق أو برابط حرارى. ",,,"ملاحظة 10:","11","Elastic products consisting of textile materials combined with rubber threads are classified in this Section.",,,"Note10:"
"21","من أجل تطبيق أحكام هذا القسم، فإن عبارة "" مشربة ""تشمل أيضاً"" المغموسة "". ",,,"ملاحظة 11:","11","For the purposes of this Section, the expression “impregnated” includes “dipped”.",,,"Note11:"
"22","من أجل تطبيق أحكام هذا القسم، فإن عبارة ""بولى أميد"" تشمل أيضاً "" الأراميد"". ",,,"ملاحظة 12:","11","For the purposes of this Section, the expression “polyamides” includes “aramids”.",,,"Note12:"
"23","ما لم ينص على خلاف ذلك، فإن الألبسة من مواد نسجية التابعة لبنود مختلفة، يجب أن تبند في البنود الخاصة بكل منها، حتى وإن كانت مهيأة بشكل مجموعات للبيع بالتجزئة. من أجل تطبيق هذه الملاحظة، يقصد بعبارة ""ألبسة نسجية""، الألبسة الداخلة في البنود من 61.01 إلى 61.14 ومن 62.01 إلى 62.11",,,"ملاحظة 13:","11"," For the purposes of this Section and, where applicable, throughout the Nomenclature, the expression “elastomeric yarn “means filament yarn, including monofilament, of synthetic textile material, other than textured yarn, which does not break on being extended to three times its original length and which returns, after being extended to twice its original length, within a period of five minutes, to a length not greater than one and a half times its original length.",,,"Note13:"
"24",,,,,"11","Unless the context otherwise requires, textile garments of different headings are to be classified in their own headings even if put up in sets for retail sale. For the purposes of this Note, the expression “textile garments” means garments of headings 61.01 to 61.14 and headings 62.01 to 62.11.",,,"Note14:"
"25",,,,,"11"," Subject to Note 1 to Section XI, textiles, garments and other textile articles, incorporating chemical, mechanical or electronic components for additional functionality, whether incorporated as built-in components or within the fibre or fabric, are classified in their respective headings in Section XI provided that they retain the essential character of the goods of this Section.",,,"Note15:"
"26","لا يشمل هذا القسم: # (أ)- الدهانات المحضرة والحبر أوغيرها من المنتجات التي أساسها مساحيق أو رقائق معدنية (البنود من 32.07 إلى 32.10 أو 32.12 أو 32.13 أو 32.15)؛ # (ب)-  الفيرو - سيريوم والمخاليط المعدنية الأخر للقدح (لإحداث الشرر) (البند 36.06)؛  # (ج)- أغطية الرأس وأجزاءها الداخلة في البندين 65.06 أو 65.07؛ #( د)- هياكل المظلات أو الأصناف الأخر الداخلة في البند 66.03؛ # (هـ) الأصناف الداخلة في الفصل 71 (مثل خلائط المعادن الثمينة أو المعادن العاديـة المكسوة بقشرة من معادن ثمينة أو حلى الغواية ""المقلدة"" )؛ # (و)  الأصناف الداخلة في القسـم السادس عشر (الآلات والأجهزة الآلية والمـعدات الكهربائية)؛ # (ز)  القضبان المجمعة للسكك الحديدية والترام (البند 86.08 ) والأصناف الأخر الداخلة في القسم السابع عشر (مركبات وسفن ومراكب وطائرات)؛ # (ح)  الأدوات أو الأجهزة الداخلة في القسم الثامن عشر، بما فيها نوابض الساعات؛ # (ط)  كرات الرصاص المعدة للذخيرة (البند 93.06) والأصناف الأخـر الداخلـة في القسـم التاسع عشر (أسلحة وذخائر)؛ # (ى)  الأصناف الداخلة في الفصل 94 (مثـل الأثـاث وحوامل الحشايا وأجهزة الإنـارة ولوازمها والإشارات واللوحات الإعلانية المضيئة والمبانى المسبقة الصنع)؛ # الأصناف الداخلة في الفصل95 (مثل لعب الأطفال وألعاب المجتمعات وأدوات ولوازم الرياضة)؛ # المناخل اليدوية والأزرار وأقلام الحبر السائل وماسكات الأقلام وريش أقـلام الحـبـر أو الأصناف الأخر الداخلة في الفصل 96 (مصنوعات متنوعة)؛ # (م )  الأصناف الداخلة في الفصل 97 (مثل التحف الفنية).",,,"ملاحظة 1:","15","This Section does not cover : # (a)  Prepared paints, inks or other products with a basis of metallic flakes or powder (headings 32.07 to 32.10, 32.12, 32.13 or 32.15); # (b)  Ferro‑cerium or other pyrophoric alloys (heading 36.06); #  (c)  Headgear or parts thereof of heading 65.06 or 65.07; #  (d)  Umbrella frames or other articles of heading 66.03; #  (e)  Goods of Chapter 71 (for example, precious metal alloys, base metal clad with precious metal, imitation jewellery); #  (f)  Articles of Section XVI (machinery, mechanical appliances and electrical goods); #   (g)  Assembled railway or tramway track (heading 86.08) or other articles of Section XVII (vehicles, ships and boats, aircraft); # (h)  Instruments or apparatus of Section XVIII, including clock or watch springs; #   (ij)  Lead shot prepared for ammunition (heading 93.06) or other articles of Section XIX (arms and ammunition); #  (k)  Articles of Chapter 94 (for example, furniture, mattress supports, luminaires and lighting fittings, illuminated signs, prefabricated buildings);  # (l)  Articles of Chapter 95 (for example, toys, games, sports requisites); # (m)  Hand sieves, buttons, pens, pencil-holders, pen nibs, monopods, bipods, tripods and similar articles or other articles of Chapter 96 (miscellaneous manufactured articles); or #  (n)  Articles of Chapter 97 (for example, works of art).",,,"Note 1:"
"27","يقصد بعبارة "" أجزاء ولوازم للإستعمالات العامة "" حيثما وردت في جدول التعريفة: # ( أ )  الأصناف الداخلة في البنود 73.07 أو 73.12 أو 73.15 أو 73.17 أو 73.18والأصناف المماثلة من معادن عادية أخر؛ # (ب)  النوابض وريش النوابض، من معادن عادية، بإستثناء نوابض الساعات (البند 91.14)؛ # (ج)  الأصناف الداخلة في البنود 83.01 أو 83.02 أو 83.08 أو 83.10 والأطر والمرايا من معادن عادية، الداخلة في البند 83.06. # إن الإشارة إلى أجزاء الأصناف الداخلة في الفصول من 73 حتى 76 ومن 78 حتى 82 (ما عدا البند 73.15) لاتسرى على الأجزاء واللوازم للإستعمالات العامة بالمعنى المقصود أعلاه. مع مراعاة أحكـام الفقرة السابقة والملاحظة (1) للفصل 83، فإن بنود الفصول من 72 حتى 76 ومن 78 حتى 81 لاتسرى على أي من المصنوعات الداخلة في الفصلين 82 أو 83.",,,"ملاحظة 2:","15","Throughout the Nomenclature, the expression “parts of general use” means : # (a)  Articles of heading 73.07, 73.12, 73.15, 73.17 or 73.18 and similar articles of other base metal, other than articles specially designed for use exclusively in implants in medical, surgical, dental or veterinary sciences (heading 90.21); #  (b)  Springs and leaves for springs, of base metal, other than clock or watch springs (heading 91.14); and #   (c)  Articles of headings 83.01, 83.02, 83.08, 83.10 and frames and mirrors, of base metal, of heading 83.06. # In Chapters 73 to 76 and 78 to 82 (but not in heading 73.15) references to parts of goods do not include references to parts of general use as defined above. #  Subject to the preceding paragraph and to Note 1 to Chapter 83, the articles of Chapter 82 or 83 are excluded from Chapters 72 to 76 and 78 to 81.",,,"Note 2:"
"28","يقصد بعبارة ""معادن عادية"" أينما وردت في جدول التعريفة: الحديد الصب ""ظهر""،والحديد، والصلب (فولاذ)، النحاس، النيكل، الألومنيوم، الرصاص، الزنك، القصدير، التنجستين (ولفرام)، الموليبدنيوم، التانتالوم، الماغنسيوم، الكوبالت، البيزموت، الكادميوم، التيتانيوم، الزيركونيوم، الأنتيموان، المنجنيز، البيريليوم، الكروم، الجرمانيوم، الفاناديوم، الجاليوم، الهافنيوم (سلتيوم)، الأنديوم، النيوبيوم (الكولومبيوم)، الرينيوم والثاليوم. ",,,"ملاحظة 3:","15","Throughout the Nomenclature, the expression “base metals” means : iron and steel, copper, nickel, aluminium, lead, zinc, tin, tungsten (wolfram), molybdenum, tantalum, magnesium, cobalt, bismuth, cadmium, titanium, zirconium, antimony, manganese, beryllium, chromium, germanium, vanadium, gallium, hafnium, indium, niobium (columbium), rhenium and thallium.",,,"Note3:"
"29","يقصد بعبارة ""سيرميت"" (خلائط معدنية خزفية)، أينما وردت في جدول التعريفة، المنتجات التي تحتوى على خلائط مجهرية غير متجانسة من مكونات معدنية ومكونات خزفية. وتشمل عبارة ""سيرميت"" أيضاً، الكربيدات المعدنية الملبدة ""فريت"" (كربيدات معدنية ملبدة مع معدن). ",,,"ملاحظة 4:","15","Throughout the Nomenclature, the term “cermets” means products containing a microscopic heterogeneous combination of a metallic component and a ceramic component. The term “cermets” includes sintered metal carbides (metal carbides sintered with a metal).",,,"Note 4:"
"3","يقصد بعبارة ""كريات مكتلة Pellets"" أينما وردت فى هذا القسم، المنتجات المقدمة بشكل حبات إسطوانية أو كروية صغيرة ..إلخ، المكتلة إما مباشرة بالضغط البسيط أو بإضافة مادة رابطة بنسبة لاتزيد عن 3% وزناً.",,,"ملاحظة 1:","2","In this Section the term “pellets” means products which have been agglomerated either directly by compression or by the addition of a binder in a proportion not exceeding 3 % by weight.",,,"Note 1:"
"30","قـواعد تبنيد الخلائط (عدا خلائط الحديد وخلائط النحاس كما عرفت في الفصلين 72، 74: # ( أ )  الخلائط من معادن عادية تبند مع المعدن الغالب وزناً على أي من المعادن الأخر؛  # (ب)  الخلائط المكونة من معادن عادية داخلة في هذا القسم ومن عناصر غير داخلـة فيـه، تبند كخلائط المعـادن العادية الداخلة في هذا القسم إذا كان مجموع وزن هـذه المعادن يساوى أو يزيد عن مجموع وزن العناصر الأخر الداخلة في تركيبها؛ # (ج)  تشـمل عبارة ""خلائط"" الواردة في هذا القسم المخاليط الملبدة ""الفريت"" من مساحيق معدنية، والمخاليط غير المتجانسة المتحصـل عليها بالصهر (عدا الخلائط المعدنية الخزفية ""سيرميت"" )، ومركبات السبائك. ",,,"ملاحظة 5:","15","Classification of alloys (other than ferro‑alloys and master alloys as defined in Chapters 72 and 74) : #  (a)  An alloy of base metals is to be classified as an alloy of the metal which predominates by weight over each of the other metals; # (b)  An alloy composed of base metals of this Section and of elements not falling within this Section is to be treated as an alloy of base metals of this Section if the total weight of such metals equals or exceeds the total weight of the other elements present; # (c)   In this Section the term “alloys” includes sintered mixtures of metal powders, heterogeneous intimate mixtures obtained by melting (other than cermets) and intermetallic compounds.",,,"Note 5:"
"31","ما لم ينص على خلاف ذلك، فإن كل إشارة في جدول التعريفة إلى معدن عادى، تعتبر شاملة أيضا لخلائطه التي يجب أن تبند معه، وفقاً لأحكام الملاحظة (5) أعلاه. ",,,"ملاحظة 6:","15","Unless the context otherwise requires, any reference in the Nomenclature to a base metal includes a reference to alloys which, by virtue of Note 5 above, are to be classified as alloys of that metal.",,,"Note 6:"
"32","قواعد تبنيد الأصناف المركبة: ما لم تنص عليه البنود خلافاً لذلك، فإن المصنوعات من معادن عادية (بما فيها الأصناف من مواد مخلوطة التي تعتبر كمصنوعات من معدن عادى بموجب القواعد العامة لتفسير جدول التعريفة) والمحتوية على معدنين أو أكثر من المعادن العادية، تبند مع المصنوعات المماثلة من المعدن الغالب وزناً على أي من المعادن الأخر. ولتطبيق هذه القاعدة: # ( أ )  يعتـبر الحديد الصب (ظهر)، والحديد، والصلب (الفولاذ) أو الأنواع المختلفة مـن الحديد أو الصلب، معدنًا واحداً؛ # (ب)  تعتبر الخلائط كما لو كانت بأكملها من نوع المعدن الذي يحدد بنده وفقاً للملاحظة (5) أعلاه؛ و # (ج)  تعتبر الخلائط المعدنية الخزفية """"سيرميت"" الداخلة في البند 81.13 كمعدن عادى واحد. ",,,"ملاحظة 7:","15","Classification of composite articles : # Except where the headings otherwise require, articles of base metal (including articles of mixed materials treated as articles of base metal under the General Interpretative Rules) containing two or more base metals are to be treated as articles of the base metal predominating by weight over each of the other metals. # For this purpose : # (a)  Iron and steel, or different kinds of iron or steel, are regarded as one and the same metal; # (b)  An alloy is regarded as being entirely composed of that metal as an alloy of which, by virtue of Note 5, it is classified; and # (c)  A cermet of heading 81.13 is regarded as a single base metal.",,,"Note 7:"
"33","يقصد بالعبارات التالية الواردة في هذا القسم المعانى المبينة إزاء كل منها: #( أ)  فضـلات وخردة: هى الفضلات والخردة المعدنية الناتجة عن عمليتى التصنيع أو الشغل الإلى للمعادن، والمصنوعات المعدنية التي لا تصلح نهائياً للإستعمال كمصنوعات معدنية بسبب التكسير أو التقطيع أو التآكل أو غيرها من الأسباب. # (ب)  مساحيـق: هى المنتجات التي يمر 90% أو أكثر من وزنها من خلال منخل ذى عيون مقاسها 1 مم. ",,,"ملاحظة 8:","15","in this Section, the following expressions have the meanings hereby assigned to them : #  (a)  Waste and scrap # (i)    All metal waste and scrap; #   (ii)    Metal goods definitely not usable as such because of breakage, cutting up, wear or other reasons. #  (b)  Powders # Products of which 90 % or more by weight passes through a sieve having a mesh aperture of 1 mm.",,,"Note 8:"
"34",,,,,"15","For the purposes of Chapters 74 to 76 and 78 to 81, the following expressions have the meanings hereby assigned to them :#   (a)  Bars and rods Rolled, extruded, drawn or forged products, not in coils, which have a uniform solid cross-section along their whole length in the shape of circles, ovals, rectangles (including squares), equilateral triangles or regular convex polygons (including “flattened circles” and “modified rectangles”, of which two opposite sides are convex arcs, the other two sides being straight, of equal length and parallel). Products with a rectangular (including square), triangular or polygonal cross-section may have corners rounded along their whole length.  The thickness of such products which have a rectangular (including “modified rectangular”) cross-section exceeds one-tenth of the width. The expression also covers cast or sintered products, of the same forms and dimensions, which have been subsequently worked after production (otherwise than by simple trimming or de-scaling), provided that they have not thereby assumed the character of articles or products of other headings. # Wire-bars and billets of Chapter 74 with their ends tapered or otherwise worked simply to facilitate their entry into machines for converting them into, for example, drawing stock (wire-rod) or tubes, are however to be taken to be unwrought copper of heading 74.03.  This provision applies mutatis mutandis to the products of Chapter 81. # (b)  Profiles # Rolled, extruded, drawn, forged or formed products, coiled or not, of a uniform cross-section along their whole length, which do not conform to any of the definitions of bars, rods, wire, plates, sheets, strip, foil, tubes or pipes.  The expression also covers cast or sintered products, of the same forms, which have been subsequently worked after production (otherwise than by simple trimming or de-scaling), provided that they have not thereby assumed the character of articles or products of other headings. #  (c)  Wire # Rolled, extruded or drawn products, in coils, which have a uniform solid cross-section along their whole length in the shape of circles, ovals, rectangles (including squares), equilateral triangles or regular convex polygons (including “flattened circles” and “modified rectangles”, of which two opposite sides are convex arcs, the other two sides being straight, of equal length and parallel). Products with a rectangular (including square), triangular or polygonal cross-section may have corners rounded along their whole length.  The thickness of such products which have a rectangular (including “modified rectangular”) cross-section exceeds one-tenth of the width. #  (d)  Plates, sheets, strip and foil # Flat-surfaced products (other than the unwrought products), coiled or not, of solid rectangular (other than square) cross-section with or without rounded corners (including “modified rectangles” of which two opposite sides are convex arcs, the other two sides being straight, of equal length and parallel) of a uniform thickness, which are : # -    of rectangular (including square) shape with a thickness not exceeding one-tenth of the width; # -    of a shape other than rectangular or square, of any size, provided that they do not assume the character of articles or products of other headings. # Headings for plates, sheets, strip, and foil apply, inter alia, to plates, sheets, strip, and foil with patterns (for example, grooves, ribs, chequers, tears, buttons, lozenges) and to such products which have been perforated, corrugated, polished or coated, provided that they do not thereby assume the character of articles or products of other headings.  #  (e)  Tubes and pipes # Hollow products, coiled or not, which have a uniform cross-section with only one enclosed void along their whole length in the shape of circles, ovals, rectangles (including squares), equilateral triangles or regular convex polygons, and which have a uniform wall thickness.  Products with a rectangular (including square), equilateral triangular or regular convex polygonal cross-section, which may have corners rounded along their whole length, are also to be considered as tubes and pipes provided the inner and outer cross-sections are concentric and have the same form and orientation.  Tubes and pipes of the foregoing cross-sections may be polished, coated, bent, threaded, drilled, waisted, expanded, cone-shaped or fitted with flanges, collars or rings.",,,"Note 9:"
"35","لا يشمل هذا القسـم : # أ -  سـيور نقل الحركة وسـيور نقل المواد من اللدائن الداخلة فى الفصل 39،  أو من مطاط مبركن   (البنـد 40.10)؛ أو الأصناف الأخـر ، مــن الأنواع المستخدمة  فى الآلات أو الأجهزة الآلية أو الكهربائية، أو لأغراض التقنيـة الأخر، من مطاط مبركن غير مقسى ( البند 40.16 ) ؛ # ب -  الأصناـف من جلد طبيعى أو مجدد (البند 42.04) أو من جلود بفراء (البند 43.03)، من الأنواع المستخدمة فى الآلات أو الأجهزة الآلية أو فى أغراض التقنية الأخر ؛ # ج-  المواسـير ""بوبينات "" والبكرات والمكبات والحوامل المخروطية ""كونات"" وغيرها مــن الحوامل   المماثلة، من أية مادة (مثلاً، الفصول 39 أو 40 أو 44 أو 48 أو القسم الخامس عشر)؛ # د -  البطاقـات المثقبة لآلات الجـاكار أو للآلات المماثلة (مثلاً، الفصول 39 أو 48 أو القسم الخامس  عشر )؛ # هـ -  سـيور نقل الحركة وسيور نقل المواد، من مواد نسجية (البند59.10 )، وكذلك الأصناف الأخر   من مواد نسجية لإستعمالات تقنية ( البند 59.11 ) ؛ # و -  الأحجار الكريمـة أو شبه الكريمة (طبيعية أو تركيبية أو مجددة) المذكورة فـى البنود من 71.02   إلي 71.04، وكذلك الأصناف المصنوعة كلياً من مثل هذه الأحجار المذكورة فى البند 71.16،    ما عــدا الياقوت الأزرق (سفير) والماس المشغولين غير المركبين على حوامل لإبر قراءة الحاكى   (البند 85.22 ) ؛ # ز -  الأجـزاء واللوازم للإسـتعمالات العامة بالمعنى المقصود فى الملاحظة (2) من القسم الخامس عشر، من معادن عادية (القسم الخامس عشر) أو الأصناف المماثلة من لدائن (الفصل 39) ؛ # ح -  مواسير الحفر (البند 73.04) ؛ #  ط -  السيور المقفلة بدون نهايات من أسلاك أو أشرطة معدنية (القسم الخامس عشر ) ؛ # ى -  أصناف الفصل 82 أو الفصل 83 ؛ # ك -  أصناف القسم السابع عشر ؛ # ل -  أصناف الفصل (90) ؛ # م -  أصناف صناعة الساعات ( الفصل 91 ) ؛ # ن -  الأدوات القابلة للتبديل الداخلة فـى البند 82.07 أو الفراجـين من الأنواع المستعملة كأجزاء   للآلات (البند 96.03) ؛ كذلك الأدوات المماثلة القابلـة للتبديـل التي تبند وفقاً للمادة المصنوعة   منها أجزاؤها العاملة (مثلاً، فى الفصول40، 42، 43، 45 أو59 أو البند68.04 أو البند69.09)؛ # س-  أصناف الفصل ( 95 ) . # ع - أشرطة الآلات الكاتبة والأشرطة المماثلة ، سواء كانت مركبة على بكرات أو ضمن عبوات (خراطيش) (تبند تبعاً للمادة المكونة لها ، أو فى البند 96.12 إذا كانت مجمدة أو محضرة بطريقة أخرى للطبع).",,,"ملاحظة 1:","16","This Section does not cover : # (a)   Transmission or conveyor belts or belting, of plastics of Chapter 39, or of vulcanised rubber (heading 40.10), or other articles of a kind used in machinery or mechanical or electrical appliances or for other technical uses, of vulcanised rubber other than hard rubber (heading 40.16); # (b)   Articles of leather or of composition leather (heading 42.05) or of furskin (heading 43.03), of a kind used in machinery or mechanical appliances or for other technical uses; #  (c)   Bobbins, spools, cops, cones, cores, reels or similar supports, of any material (for example, Chapter 39, 40, 44 or 48 or Section XV); #  (d)   Perforated cards for Jacquard or similar machines (for example, Chapter 39 or 48 or Section XV); #  (e)   Transmission or conveyor belts or belting of textile material (heading 59.10) or other articles of textile material for technical uses (heading 59.11); #   (f)   Precious or semi‑precious stones (natural, synthetic or reconstructed) of headings 71.02 to 71.04, or articles wholly of such stones of heading 71.16, except unmounted worked sapphires and diamonds for styli (heading 85.22); #  (g)   Parts of general use, as defined in Note 2 to Section XV, of base metal (Section XV), or similar goods of plastics (Chapter 39); #  (h)   Drill pipe (heading 73.04); # (ij)   Endless belts of metal wire or strip (Section XV); #  (k)   Articles of Chapter 82 or 83; # (l)   Articles of Section XVII; # (m) Articles of Chapter 90; #   (n)   Clocks, watches or other articles of Chapter 91; #   (o)   Interchangeable tools of heading 82.07 or brushes of a kind used as parts of machines (heading 96.03); similar interchangeable tools are to be classified according to the constituent material of their working part (for example, in Chapter 40, 42, 43, 45 or 59 or heading 68.04 or 69.09); # (p)   Articles of Chapter 95; or # (q)   Typewriter or similar ribbons, whether or not on spools or in cartridges (classified according to their constituent material, or in heading 96.12 if inked or otherwise prepared for giving impressions), or monopods, bipods, tripods and similar articles, of heading 96.20.",,,"Note 1:"
"36","مع مراعاة أحكام الملاحظة (1) من هذا القسم والملاحظة (1) من كل من الفصلين 84 و 85، فإن الأجزاء والقطع المنفصلة للآلات (بإستثناء الأجزاء والقطع المنفصلة للأصناف الداخلة فـى البنـود 84.84 أو 85.44 أو 85.45 أو 85.46 أو 85.47)، تبند تبعاً للقواعد التالية : # ( أ )  إن الأجزاء التي تمثل أصنافاً مشمولة فى أى من بنود الفصلين84 أو85 (بإستثناء البنــود 84.09   و 84.31 و 84.48 و 84.66 و 84.73 و 84.85 و 85.03 و 85.22 و 85.29  و85.38   و85.48 )، تدخل فى جميع الحالات فى بنودها الخاصة ؛ # (ب)  إذا كانت الأجزاء الأخر معدة للإستعمال حصراً أو بصورة رئيسية لآلة معينة أو لعدد من الآلات   الداخلة فى نفس البند (بما فى ذلك الآلات الداخلة فى البند 84.79 أو البند 85.43)، فـإن هذه   الأجـزاء تدخل فى البند الذى تخضع له هذه الآلة أو الآلات ، تبعاً للحال، أو فى البنود 84.09 ، 84.31 ، 84.48 ، 84.66 ، 84.73 ، 85.03 ، 85.22 ، 85.29 أو 85.38  ومع ذلك، فإن الأجزاء المعدة للإستعمال على حد سواء وبصورة رئيسية مع أصناف البند 85.17  وأيضاً مع البنود من 85.25 حتى 85.28، تدخل فى البند 85.17  ؛ # (ج)  تبند جميع الأجزاء الأخر فى البنود 84.09 ، 84.31 ، 84.48 ، 84.66 ، 84.73 ، 85.03 ، 85.22 ، 85.29 أو 85.38، تبعاً للحال، فإذا تعذر ذلك ، فإنها تبند فى البند 84.85 أو البند  85.48",,,"ملاحظة 2:","16","Subject to Note 1 to this Section, Note 1 to Chapter 84 and Note 1 to Chapter 85, parts of machines (not being parts of the articles of heading 84.84, 85.44, 85.45, 85.46 or 85.47) are to be classified according to the following rules : #  (a)   Parts which are goods included in any of the headings of Chapter 84 or 85 (other than headings 84.09, 84.31, 84.48, 84.66, 84.73, 84.87, 85.03, 85.22, 85.29, 85.38 and 85.48) are in all cases to be classified in their respective headings; #   (b)   Other parts, if suitable for use solely or principally with a particular kind of machine, or with a number of machines of the same heading (including a machine of heading 84.79 or 85.43) are to be classified with the machines of that kind or in heading 84.09, 84.31, 84.48, 84.66, 84.73, 85.03, 85.22, 85.29 or 85.38 as appropriate. However, parts which are equally suitable for use principally with the goods of headings 85.17 and 85.25 to 85.28 are to be classified in heading 85.17, and parts which are suitable for use solely or principally with the goods of heading 85.24 are to be classified in heading 85.29; # (c)   All other parts are to be classified in heading 84.09, 84.31, 84.48, 84.66, 84.73, 85.03, 85.22, 85.29 or 85.38 as appropriate or, failing that, in heading 84.87 or 85.48.",,,"Note 2:"
"37","مالم ينص على خلاف ذلك، فإن الآلات المركبة المؤلفة من آلتين أو أكثر ذات وظائف مختلفة ، المعدة لكى تعمل معاً كوحدة، والمهيأة فى جسم واحد، وكذلك الآلات المعدة لكى تؤدى وظيفتين مختلفتين أو أكثر، بالتناوب أو بالتكامل، فإنها تبند تبعاً للوظيفة الرئيسية فى كلتا الحالتين ",,,"ملاحظة 3:","16","Unless the context otherwise requires, composite machines consisting of two or more machines fitted together to form a whole and other machines designed for the purpose of performing two or more complementary or alternative functions are to be classified as if consisting only of that component or as being that machine which performs the principal function.",,,"Note 3:"
"38","عندما تكون الآلة (بما فى ذلك المجموعة المؤلفة من آلات مشتركة ) مؤلفة من مكونات مستقلة (وإن كانت منفصلة أو متصلة فيما بينها بأنابيب، أو بأجهزة ناقلة للحركة أو بكابلات كهربائية أو بأية وسيلة أخرى) معدة لأن تعمل معاً لأداء وظيفة محددة بوضوح ومشمولة فى أى من بنود الفصلين 84 أو85، فإن المجموعة تبند فى البند الخاص بهذه الوظيفة",,,"ملاحظة 4:","16","Where a machine (including a combination of machines) consists of individual components (whether separate or interconnected by piping, by transmission devices, by electric cables or by other devices) intended to contribute together to a clearly defined function covered by one of the headings in Chapter 84 or Chapter 85, then the whole falls to be classified in the heading appropriate to that function.",,,"Note 4:"
"39","من أجل تطبيق أحكام الملاحظات السابقة، يقصد بكلمة ""آلات"" أى من الآلات أو الوحدات أو المعدات أو الأجهزة  ، مما هو وارد فى بنود الفصلين 84 أو  85 ",,,"ملاحظة 5:","16","For the purposes of these Notes, the expression “machine” means any machine, machinery, plant, equipment, apparatus or appliance cited in the headings of Chapter 84 or 85.",,,"Note 5:"
"4","يقصد بعبارة "" كريات مكتلة Pellets "" أينما وردت فى هذا القسم، المنتجات المقدمة بشكل حبات إسطوانية أو كروية كتلت إما بمجرد الضغط البسيط أو بإضافة مواد رابطة بنسبة لا تزيد عن 3% وزناً .",,,"ملاحظة 1:","4"," In this Section the term “pellets” means products which have been agglomerated either directly by compression or by the addition of a binder in a proportion not exceeding 3 % by weight.",,,"Note 1:"
"40",,,,,"16","Throughout the Nomenclature, the expression “electrical and electronic waste and scrap” means electrical and electronic assemblies, printed circuit boards, and electrical or electronic articles that : #  (i) have been rendered unusable for their original purposes by breakage, cutting-up or other processes or are economically unsuitable for repair, refurbishment or renovation to render them fit for their original purposes; and # (ii) are packaged or shipped in a manner not intended to protect individual articles from damage during transportation, loading and unloading operations.","Mixed consignments of “electrical and electronic waste and scrap” and other waste and scrap are to be classified in heading 85.49.","This Section does not cover municipal waste, as defined in Note 4 to Chapter 38","Note 6:"
"41","لايشمل هذا القسم الأصناف الداخلة فى البنود 95.01 أو 95.03 أو 95.08، كما لايشمل الزحافات والمزالق والأصناف المماثلة الداخلة فى البند 95.06 .",,,"ملاحظة 1:","17","This Section does not cover articles of heading 95.03 or 95.08, or bobsleighs, toboggans or the like of heading 95.06.",,,"Note 1:"
